id,name,name_en,qlvl,package,color,type,subType,cost,power,trigger,description,description_en,flavorText,flavorText_en
1000124,水之魂,Soul of Water,C,Boundary,blue,creature,Summoned,0,1,Passive,* 不稳定：回合结束时，置于墓地,,,
1000125,法力黏虫幼体,,C,Boundary,blue,creature,Summoned,0,2,None,,,,
1000126,海卓蛇头,Hydra Head,C,Boundary,blue,creature,Summoned,0,1,None,,,,
1000002,水灵,Water Spirit,B,Boundary,blue,creature,,1,1,Death,* 死亡召唤：死亡之后召唤一个1/1的水之魂回到原卡槽。水之魂具有不稳定：回合结束时，置于墓地,,,
1000023,沼泽屏障,Fortress Mirage,C,Aether,blue,creature,,1,2,attack,<b>攻击时</b>，不贡献力量值,,,
1000028,思维加速,Mind Acceleration,C,Aether,blue,spell,,1,,spell,你抽1张卡,,,
1000119,沼泽女巫,Marsh Witch,C,Boundary,blue,creature,,1,1,Combat,* 衰弱：战斗时，敌方生物力量-1,,,
1000118,蜥蜴人,Lizardman,C,Aether,blue,creature,,1,1,none,,,,
1000123,庇护所,Water of Protection,C,Aether,blue,spell,,1,,spell,目标生物将不参与战斗，直到施法者的回合结束,,,
1000046,转化,Convert,B,Boundary,blue,spell,,1,,Spell,* 回收：将一个你控制的蓝色生物置于墓地并获得2个符文,,,
1000004,溶解术,Water of the Foreseer,C,Aether,blue,spell,,2,,spell,目标卡槽所有生物力量降为1，直到施法者的回合结束,,,
1000005,巨人幻象,Colossus Illusion,A,Boundary,blue,creature,,2,2,None,,,,Look at that! We must take it down first!
1000013,水蛭,Leech,A,Boundary,blue,creature,,2,1,Attack,* 吸血：进攻时，获得1点生命,,,
1000011,寒冰武士,Shard of Phantom,C,Aether,blue,creature,,2,2,death,<b>死亡时：</b>你抽1张卡,,,
1000030,神秘幻象,Mystical Illusion,C,Aether,blue,enchantment,,2,,enchantment,至于蓝色卡槽，卡槽效果额外降低1点敌方力量判定,,,
1000043,法力回流,Energy Torrent,C,Aether,blue,spell,,2,,Spell,退回目标生物|n你抽1张卡,,,
1000029,占卜,Divination,A,Boundary,blue,spell,,2,,Spell,* 你抽2张牌，并弃掉1张牌,,让我们来看看盒子里面是什么。,
